ID,Time,Src Entity,Src Port,Dst Entity,Dst Port,Dst Country,Alert
63,7/5/2013 5:08,USA.76,53246,Hogwarts.88,8080,Hogwarts,ET TROJAN Qhosts Trojan Check-in
,,,,,,,
64,7/5/2013 5:11,USA.113,2735,Far Far Away.11,80,Far Far Away,WEB-PHP authentication_index.php access
,,,,,,,
65,7/5/2013 5:40,USA.12,20,Pern.152,52877,Pern,Rar Encrypted File Transfer
,,,,,,,
66,7/5/2013 5:15,USA.110,2990,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
67,7/5/2013 5:15,USA.110,2984,land of OZ.131,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
68,7/5/2013 5:18,USA.12,3144,Neverland.192,443,Neverland,Fragmented IP Packet
,,,,,,,
69,7/5/2013 5:27,USA.12,3288,Middle-Earth.63,80,Middle-Earth,INFO Connection Closed MSG from Port 80
,,,,,,,
70,7/5/2013 5:30,USA.12,3406,Charn.102,443,Charn,Fragmented IP Packet
,,,,,,,
71,7/5/2013 5:11,USA.113,2763,Blefuscu.112,80,Blefuscu,XMLHttpRequest attempt
,,,,,,,
72,7/5/2013 5:18,USA.12,3150,Neverland.192,443,Neverland,Fragmented IP Packet
,,,,,,,
73,7/5/2013 5:18,USA.12,3133,Wonderland.5,80,Wonderland,WEB-CGI php.cgi access
,,,,,,,
74,7/5/2013 5:17,USA.12,3073,Neverland.17,443,Neverland,Fragmented IP Packet
,,,,,,,
75,7/5/2013 5:30,USA.12,3432,Shangri-La.1,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
76,7/5/2013 5:25,USA.96,65114,Atlantis.10,8000,Atlantis, ET TROJAN W32/Sality Executable Pack Digital Signature ASCII Marker 
,,,,,,,
77,7/5/2013 5:40,USA.12,20,Pern.152,52879,Pern,Rar Encrypted File Transfer
,,,,,,,
78,7/5/2013 5:12,USA.12,2871,USA.7,21,USA,FTP Satan Scan
,,,,,,,
79,7/5/2013 5:11,USA.113,2757,Pandora.116,80,Pandora,Fragmented IP Packet
,,,,,,,
80,7/5/2013 5:11,USA.3,2717,Blefuscu.112,80,Blefuscu,XMLHttpRequest attempt
,,,,,,,
81,7/5/2013 5:11,USA.113,2761,Blefuscu.112,80,Blefuscu,XMLHttpRequest attempt
,,,,,,,
82,7/5/2013 5:41,USA.101,3659,USA.12,139,USA,NETBIOS SMB-DS winreg access
,,,,,,,
83,7/5/2013 5:30,USA.12,3368,Pellucidar.26,80,Pellucidar,XMLHttpRequest attempt
,,,,,,,
84,7/5/2013 5:04,USA.12,2557,Dreamlands.123,80,Dreamlands,Suspicious Browser Redirect
,,,,,,,
85,7/5/2013 5:09,USA.3,2678,Pern.162,80,Pern,INFO web bug 0x0 gif attempt
,,,,,,,
86,7/5/2013 5:30,USA.12,3402,Pellucidar.26,443,Pellucidar,Fragmented IP Packet
,,,,,,,
87,7/5/2013 5:11,USA.3,2713,Blefuscu.112,80,Blefuscu,XMLHttpRequest attempt
,,,,,,,
88,7/5/2013 5:30,USA.12,3391,Far Far Away.13,80,Far Far Away,Fragmented IP Packet
,,,,,,,
89,7/5/2013 5:25,USA.96,65111,Atlantis.10,8000,Atlantis, ET TROJAN Sality Variant Checkin Activity 
,,,,,,,
90,7/5/2013 5:15,USA.12,3022,Dinotopia.125,80,Dinotopia,INFO Connection Closed MSG from Port 80
,,,,,,,
91,7/5/2013 5:45,USA.12,3562,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
92,7/5/2013 5:17,USA.12,20,USA.3,52622,USA,FTP - Suspicious MGET Command
,,,,,,,
93,7/5/2013 4:58,USA.76,53245,Hogwarts.88,8080,Hogwarts,ET TROJAN Qhosts Trojan Check-in
,,,,,,,
94,7/5/2013 5:27,USA.12,3303,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
95,7/5/2013 5:38,USA.12,20,Pern.152,52871,Pern,Rar Encrypted File Transfer
,,,,,,,
96,7/5/2013 5:30,USA.12,3397,Pellucidar.26,443,Pellucidar,Fragmented IP Packet
,,,,,,,
97,7/5/2013 5:40,USA.12,20,Pern.152,52880,Pern,Rar Encrypted File Transfer
,,,,,,,
98,7/5/2013 5:11,USA.110,2719,Xanadu.45,80,Xanadu,WEB-CGI php.cgi access
,,,,,,,
99,7/5/2013 5:09,USA.3,2668,Wonderland.5,80,Wonderland,WEB-CGI webspeed access
,,,,,,,
100,7/5/2013 5:23,USA.12,3227,Shangri-La.129,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
101,7/5/2013 5:11,USA.113,2839,Hogwarts.12,80,Hogwarts,WEB-PHP authentication_index.php access
,,,,,,,
102,7/5/2013 5:04,USA.12,2589,Utopia.211,80,Utopia,Javascript Exploit CVE-2012-09-10b
,,,,,,,
103,7/5/2013 5:11,USA.113,2825,Westeros.168,80,Westeros,WEB-PHP authentication_index.php access
,,,,,,,
104,7/5/2013 5:22,USA.12,3200,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
105,7/5/2013 5:27,USA.12,3291,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
106,7/5/2013 5:18,USA.12,3098,Shangri-La.129,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
107,7/5/2013 5:21,USA.12,3181,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
108,7/5/2013 5:21,USA.12,52643,USA.3,21,USA,FTP CWD Root directory transversal attempt
,,,,,,,
109,7/5/2013 5:30,USA.12,3404,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
110,7/5/2013 5:16,USA.12,20,USA.3,52620,USA,FTP - Suspicious MGET Command
,,,,,,,
111,7/5/2013 5:24,USA.12,3239,Pern.114,80,Pern,INFO web bug 0x0 gif attempt
,,,,,,,
112,7/5/2013 5:11,USA.113,2756,Dinotopia.225,80,Dinotopia,INFO Connection Closed MSG from Port 80
,,,,,,,
113,7/5/2013 5:30,USA.12,3419,Pellucidar.26,80,Pellucidar,XMLHttpRequest attempt
,,,,,,,
114,7/5/2013 5:12,USA.12,2857,USA.2,21,USA,FTP Satan Scan
,,,,,,,
115,7/5/2013 5:18,USA.76,53247,Hogwarts.88,8080,Hogwarts,ET TROJAN Qhosts Trojan Check-in
,,,,,,,
116,7/5/2013 5:09,USA.3,2665,Naboo.105,80,Naboo,WEB-PHP authentication_index.php access
,,,,,,,
117,7/5/2013 5:16,USA.12,20,USA.3,52621,USA,FTP - Suspicious MGET Command
,,,,,,,
118,7/5/2013 5:12,USA.12,2868,USA.6,21,USA,FTP Satan Scan
,,,,,,,
119,7/5/2013 5:30,USA.12,3384,Shangri-La.1,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
120,7/5/2013 5:16,USA.12,20,USA.3,52618,USA,FTP - Suspicious MGET Command
,,,,,,,
121,7/5/2013 5:11,USA.110,2716,Xanadu.42,80,Xanadu,WEB-CGI php.cgi access
,,,,,,,
122,7/5/2013 5:30,USA.12,3396,Shangri-La.1,80,Shangri-La,MULTIMEDIA Quicktime User Agent access
,,,,,,,
123,7/5/2013 5:45,USA.12,3566,Camelot.32,80,Camelot,XMLHttpRequest attempt
,,,,,,,
124,7/5/2013 5:18,USA.12,3116,Neverland.192,443,Neverland,Fragmented IP Packet
,,,,,,,
125,7/5/2013 5:29,USA.101,3594,USA.12,139,USA,NETBIOS SMB-DS winreg access
,,,,,,,
126,7/5/2013 5:11,USA.113,2762,Forgotten Realm.204,80,Forgotten Realm,Fragmented IP Packet
,,,,,,,
127,7/5/2013 5:11,USA.3,2727,Deltora.36,80,Deltora,INFO Connection Closed MSG from Port 80
,,,,,,,
128,7/5/2013 5:15,USA.12,3051,Far Far Away.14,80,Far Far Away,WEB-PHP authentication_index.php access
,,,,,,,
129,7/5/2013 5:12,USA.12,2866,USA.8,21,USA,FTP Satan Scan
,,,,,,,
130,7/5/2013 5:09,USA.3,2680,Wonderland.5,80,Wonderland,WEB-CGI php.cgi access
,,,,,,,
131,7/5/2013 5:21,USA.12,3175,Narnia.102,80,Narnia,Chat Yahoo IM Message
,,,,,,,
132,7/5/2013 4:57,USA.12,2482,land of OZ.131,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
133,7/5/2013 5:38,USA.12,20,Pern.152,52872,Pern,Rar Encrypted File Transfer
,,,,,,,
134,7/5/2013 5:17,USA.12,20,USA.3,52625,USA,FTP - Suspicious MGET Command
,,,,,,,
135,7/5/2013 5:40,USA.12,20,Pern.152,52881,Pern,Rar Encrypted File Transfer
,,,,,,,
136,7/5/2013 5:14,USA.110,2958,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
137,7/5/2013 5:11,USA.113,2781,land of OZ.159,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
138,7/5/2013 5:15,USA.110,2985,land of OZ.99,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
,,,,,,,
139,7/5/2013 4:57,USA.12,2488,land of OZ.99,80,land of OZ,WEB-MISC Netscape Enterprise Server directory view
